School Year,BEDS Code,School Name,Grade Organization,District Name,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2009-2010,342800010101,Ps 101 School In The Gardens,Elementary,New York City Geographic District #28,New York City,Public,647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7
2009-2010,342800010117,Ps 117 J Keld/Briarwood School,Elementary,New York City Geographic District #28,New York City,Public,1176,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,2,3,24,2,3,0,0,0,1,0,2,0,0,0,0,0,3,1,0,8
2009-2010,342800010121,Ps 121,Elementary,New York City Geographic District #28,New York City,Public,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342800010139,Ps 139 Rego Park,Elementary,New York City Geographic District #28,New York City,Public,880,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,342800010140,Ps 140 Edward K Ellington,Elementary,New York City Geographic District #28,New York City,Public,790,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,1,14,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2
2009-2010,342800010144,Ps 144 Col Jeromus Remsen,Elementary,New York City Geographic District #28,New York City,Public,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
2009-2010,342800010157,Jhs 157 Stephen A Halsey,Junior High School,New York City Geographic District #28,New York City,Public,1076,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,0,0,16,0,5,0,0,0,1,0,4,0,1,0,0,0,1,1,0,10
2009-2010,342800010160,Ps 160 Walter Francis Bishop,Elementary,New York City Geographic District #28,New York City,Public,777,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4
2009-2010,342800010161,Ps 161 Arthur Ashe School,Elementary,New York City Geographic District #28,New York City,Public,810,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,342800010174,Ps 174 William Sidney Mount,Elementary,New York City Geographic District #28,New York City,Public,614,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
